Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Animal (non-target species) health,acute toxicity,Mouse,oral: unspecified,,LD50,=,5000,mg/kg bw/day,mortality,systemic
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Animal (non-target species) health,reproduction toxicity,Mallard duck,Not reported,,NOEL,=,149,mg/kg bw/day,not reported,not reported
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Animal (non-target species) health,reproduction toxicity,Rat,Not reported,,NOAEL,=,27.7,mg/kg bw/day,body weight,systemic
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LD50,>,590,mg/kg bw/day,mortality,systemic
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,2,LD50,=,100,µg/piece,mortality,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (soil compartment),acute toxicity,Rapeseed (oilseed rape),Not reported,21,ER50,=,59,g/ha,other,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,=,227,mg/kg,mortality,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (soil compartment),chronic/long term toxicity,Grey worm,Not reported,56,NOEC,=,10,mg/kg,no adverse effect observed at single/highest dose,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,LR50,>,1000,g/ha,mortality,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (soil compartment),not reported,Typhlodromus pyri,Not reported,,LR50,>,1000,g/ha,mortality,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,3.5,mg/L,mortality,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (water compartment),acute toxicity,Rainbow trout,Not reported,4,LC50,=,3,mg/L,mortality,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (water compartment),acute toxicity,Scenedesmus subspicatus,Not reported,3,EC50,=,0.0021,mg/L,biomass,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (water compartment),acute toxicity,Swollen duckweed,Not reported,14,EC50,=,0.048,mg/L,other,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.83,mg/L,growth,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (water compartment),chronic/long term toxicity,Harlequin fly,Not reported,28,NOEC,>=,0.25,mg/L,development,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,28,NOEC,=,0.36,mg/L,growth,
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Human health,chronic/long term toxicity,Rat,Not reported,730,NOAEL,=,3.9,mg/kg bw/day,histopathology non neoplastic,reproductive
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,20,mg/kg bw/day,development,reproductive
"(4R,6S)-2,4,6-trimethyl-1,3,5-dithiazinane",EFSA CEF,2013,2381,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,9.3,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity
"(7E, 9Z)-Dodecadien-1-yl Acetate",EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
"(7Z, 11E)-Hexadecadien-1-yl Acetate",EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,>,2250,mg/kg bw,mortality,systemic
"(7Z, 11E)-Hexadecadien-1-yl Acetate",EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
"(7Z, 11E)-Hexadecadien-1-yl Acetate",EFSA,2014,2438,Animal (non-target species) health,short-term toxicity,Bird,oral: feed,,LC50,>,5620,mg/kg,mortality,systemic
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Ecotox (soil compartment),acute toxicity,Earthworm,Not reported,,LC50,=,25,mg/kg,mortality,
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,0.082,µg/L,mortality,
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Ecotox (water compartment),acute toxicity,Pseudokirchneriella subcapitata,Not reported,3,EC50,>,9000,µg/L,biomass,
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Ecotox (water compartment),acute toxicity,Rainbow trout,Not reported,4,LC50,=,5.1,µg/L,mortality,
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Human health,acute toxicity,Rat,Not reported,,NOAEL,=,0.5,mg/kg bw,clinical signs,neurotoxicity
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Human health,chronic/long term toxicity,Dog,oral: unspecified,126,NOAEL,=,0.25,mg/kg bw/day,clinical signs,neurotoxicity
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Human health,chronic/long term toxicity,Dog,oral: unspecified,371,NOAEL,=,0.25,mg/kg bw/day,clinical signs,neurotoxicity
(E)-2-Methyl-1-methylthio-2-butene,EFSA CEF,2010,2042,Human health,subchronic,Rat,Not reported,98,NOEL,=,250,mg/kg bw/day,not reported,not reported
(E)-2-Methyl-1-methylthio-2-butene,EFSA CEF,2011,2121,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,250,mg/kg bw/day,not reported,not reported
(E)-2-Methyl-1-methylthio-2-butene,EFSA CEF,2014,2496,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,250,mg/kg bw/day,not reported,not reported
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",EFSA CEF,2015,2656,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,44,mg/kg bw/day,no adverse effect observed at single/highest dose,
(E)-8-Dodecenyl Acetate,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
(E)-Ethyl furfuracrylate,EFSA AFC,2005,2096,Human health,subchronic,Rat,oral: feed,90,NOEL,=,54,mg/kg bw/day,haematology,hepatotoxicity
(E)-Ethyl furfuracrylate,EFSA CEF,2010,2051,Human health,subchronic,Rat,oral: feed,90,NOEL,=,54,mg/kg bw/day,haematology,hepatotoxicity
(E)-Ethyl furfuracrylate,EFSA CEF,2011,2110,Human health,subchronic,Rat,oral: feed,90,NOEL,=,54,mg/kg bw/day,haematology,hepatotoxicity
"(E,E)-8,10-Dodecadien-1-ol",EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,>,2050,mg/kg bw,mortality,systemic
"(E,E)-8,10-Dodecadien-1-ol",EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
"(E,E)-Hexa-2,4-dienoic acid",EFSA ANS,2015,2667,Human health,reproduction toxicity,Rat,oral: gavage,,NOAEL,=,300,mg/kg bw/day,body weight,developmental
"(E,E)-Hexa-2,4-dienoic acid",EFSA FAF,2019,3222,Human health,reproduction toxicity,Rat,oral: feed,,BMDL,=,1100,mg/kg bw/day,body weight,systemic
"(E,E)-piperidine",EFSA CEF,2015,2601,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,5,mg/kg bw/day,clinical chemistry,systemic
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5050,mg/kg bw,mortality,systemic
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,EFSA,2014,2438,Animal (non-target species) health,short-term toxicity,Bird,oral: feed,,LC50,>,5000,mg/kg,mortality,systemic
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,2000,mg/kg bw/day,mortality,systemic
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Animal (non-target species) health,reproduction toxicity,Rabbit,Not reported,,NOEC,=,48,mg/kg bw/day,reproduction,reproductive
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LD50,>,2473,mg/kg bw/day,mortality,systemic
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,2,LD50,=,84.8,µg/piece,mortality,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,2,LD50,=,90,µg/piece,mortality,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,=,72.87,mg/kg,mortality,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (soil compartment),not reported,Onion,Not reported,,ER50,>,420,g/ha,other,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (water compartment),acute toxicity,Bluegill,Not reported,4,LC50,=,0.0569,mg/L,mortality,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,0.000579,mg/L,mortality,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (water compartment),acute toxicity,Pseudokirchneriella subcapitata,Not reported,4,EC50,=,2.12,mg/L,other,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.00076,mg/L,mobility,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,34,NOEC,=,0.00286,mg/L,mortality,
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Human health,reproduction toxicity,Rabbit,Not reported,,NOAEL,=,12,mg/kg bw/day,food consumption,systemic
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Human health,subchronic,Dog,oral: unspecified,90,NOAEL,=,1.63,mg/kg bw/day,body weight,systemic
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate preparation (GF1478)",EFSA,2014,2435,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,=,1030,mg/kg bw/day,mortality,systemic
"(S)-1-(3-(((4-amino-2,2-dioxido-1H-benzo[c][1,2,6]thiadiazin-5-yl)oxy)methyl)piperidin-1- yl)-3-methylbutan-1-one",EFSA CEF,2018,3036,Human health,reproduction toxicity,Rat,oral: gavage,15,NOAEL,=,1000,mg/kg bw/day,no adverse effect observed at single/highest dose,
"(S)-1-(3-(((4-amino-2,2-dioxido-1H-benzo[c][1,2,6]thiadiazin-5-yl)oxy)methyl)piperidin-1- yl)-3-methylbutan-1-one",EFSA CEF,2018,3036,Human health,subchronic,Rat,oral: feed,91,NOAEL,=,100,mg/kg bw/day,no adverse effect observed at single/highest dose,
(S)-1-Methoxy-3-heptanethiol,EFSA CEF,2010,2042,Human health,subchronic,Rat,Not reported,90,NOEL,=,0.7,mg/kg bw/day,not reported,not reported
(S)-1-Methoxy-3-heptanethiol,EFSA CEF,2011,2121,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
(S)-1-Methoxy-3-heptanethiol,EFSA CEF,2014,2496,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
"(S)-2,5-dimethyl-3-thiofuroylfuran",EFSA CEF,2010,2054,Human health,subchronic,Rat,oral: feed,90,NOEL,=,0.74,mg/kg bw/day,not reported,not reported
"(S)-2,5-dimethyl-3-thiofuroylfuran",EFSA CEF,2015,2620,Human health,subchronic,Rat,oral: feed,90,NOEL,=,0.74,mg/kg bw/day,not reported,not reported
(S)-Methyl octanethioate,EFSA CEF,2010,2007,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,6.63,mg/kg bw/day,no adverse effect observed at single/highest dose,
(S)-Methyl octanethioate,EFSA CEF,2010,2056,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,6.63,mg/kg bw/day,no adverse effect observed at single/highest dose,
(S)-Methyl octanethioate,EFSA CEF,2011,2082,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,6.63,mg/kg bw/day,no adverse effect observed at single/highest dose,
(S)-Methyl octanethioate,EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,6.63,mg/kg bw/day,no adverse effect observed at single/highest dose,
(S)-Methyl octanethioate,EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,6.63,mg/kg bw/day,no adverse effect observed at single/highest dose,
(Z)-11-Hexadecenal,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,>,2250,mg/kg bw,mortality,systemic
(Z)-11-Hexadecenal,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
(Z)-11-Hexadecenal,EFSA,2014,2438,Animal (non-target species) health,short-term toxicity,Bird,oral: feed,,LC50,>,5620,mg/kg,mortality,systemic
(Z)-11-Tetradecenyl Acetate,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
(Z)-9-Dodecenyl Acetate,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
(Z)-9-Tetradecenyl Acetate,EFSA,2014,2438,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
(Z)-Hept-4-enal,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
(Z)-Nerol,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98,NOAEL,=,345,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity
(Z)-Non-6-en-1-ol,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,EFSA,2011,1289,Human health,acute toxicity,Rat,Not reported,,NOAEL,=,150,mg/kg bw/day,not reported,neurotoxicity
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,EFSA,2011,1289,Human health,chronic/long term toxicity,Dog,oral: unspecified,365,NOAEL,=,2,mg/kg bw/day,histopathology non neoplastic,systemic
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,EFSA,2011,1289,Human health,chronic/long term toxicity,Mouse,Not reported,546,LOAEL,=,1.1,mg/kg bw/day,clinical signs,systemic
"1(5),7(11)-Guaiadiene",EFSA CEF,2015,2635,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,222,mg/kg bw/day,haematology,systemic
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",EFSA CONTAM,2006,73,Animal (target species) health,subchronic,Mallard duck,Not reported,,NOAEL,=,0.6,mg/kg bw/day,mortality,developmental
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",EFSA CONTAM,2006,73,Animal (target species) health,subchronic,Ringneck dove,oral: feed,,dose level,=,0.6,mg/kg bw/day,clinical chemistry,systemic
"1,1,3-Triethoxypropane",EFSA AFC,2009,2306,Human health,subchronic,Rat,Not reported,,LOAEL,=,69,mg/kg bw/day,haematology,hemopoietic
"1,1,3-Triethoxypropane",EFSA CEF,2011,2100,Human health,not reported,Unspecified,Not reported,,LOAEL,=,9.5,mg/kg bw/day,not reported,hemopoietic
"1,1,3-Triethoxypropane",EFSA CEF,2012,2125,Human health,not reported,Unspecified,Not reported,,LOAEL,=,9.5,mg/kg bw/day,not reported,hemopoietic
"1,1-Dichloro-2,2-bis(p-chlorophenyl) ethylene",EFSA CONTAM,2006,73,Animal (target species) health,reproduction toxicity,Mallard duck,Not reported,,LOAEL,=,0.6,mg/kg bw/day,development,developmental
"1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane",EFSA CONTAM,2006,73,Animal (target species) health,not reported,Mallard duck,Not reported,,NOAEL,=,0.06,mg/kg bw/day,other,systemic
"1,1-Dichloro-2-(o-chlorophenyl)- 2-(p-chlorophenyl)ethane",EFSA CONTAM,2006,73,Animal (target species) health,subchronic,Sheep,oral: feed,,dose level,=,0.3,mg/kg bw/day,no adverse effect observed,
"1,1-Propanedithiol",EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,0.703,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-Propanedithiol",EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,0.705,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-Propanedithiol",EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,0.703,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-Propanedithiol",EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,0.705,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-bis(Ethylthio)-ethane",EFSA AFC,2009,2318,Human health,subchronic,Rat,oral: gavage,90,NOAEL,=,0.44,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-bis(Ethylthio)-ethane",EFSA CEF,2010,2007,Human health,subchronic,Rat,oral: gavage,90,NOAEL,=,0.44,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-bis(Ethylthio)-ethane",EFSA CEF,2010,2056,Human health,subchronic,Rat,oral: gavage,90,NOAEL,=,0.44,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-bis(Ethylthio)-ethane",EFSA CEF,2011,2082,Human health,subchronic,Rat,oral: gavage,90,NOAEL,=,0.44,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-bis(Ethylthio)-ethane",EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,0.2,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,1-bis(Ethylthio)-ethane",EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,0.2,mg/kg bw/day,no adverse effect observed at single/highest dose,
"1,2,3,4,6,7,8,9-OCDD",EFSA CONTAM,2011,83,Human health,not reported,Unspecified,Not reported,,TEF,=,0.0001,dimensionless,not reported,not reported
"1,2,3,4,6,7,8,9-OCDF",EFSA CONTAM,2011,83,Human health,not reported,Unspecified,Not reported,,TEF,=,0.0001,dimensionless,not reported,not reported
