Substance,Author,Year,OutputID,Assessment,qualfier,value,unit,Population
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2012,2140,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2014,2563,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2015,2693,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA AFC,2009,2301,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2010,2059,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2011,2113,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2012,2140,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2014,2563,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2015,2693,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl hexanoate",EFSA AFC,2005,2061,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl hexanoate",EFSA AFC,2009,2301,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2010,2059,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2011,2113,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2012,2140,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2014,2563,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2015,2693,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl salicylate",EFSA AFC,2005,2061,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl salicylate",EFSA AFC,2009,2301,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2010,2059,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2011,2113,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2012,2140,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2014,2563,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2015,2693,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",EFSA AFC,2008,2263,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",EFSA CEF,2011,2080,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",EFSA CEF,2015,2601,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",EFSA CEF,2011,2078,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA AFC,2005,2061,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA AFC,2009,2301,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2010,2059,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2011,2113,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2012,2140,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2014,2563,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2015,2693,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA AFC,2007,2237,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA AFC,2008,2280,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA CEF,2011,2072,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA CEF,2011,2115,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA CEF,2013,2181,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
(2E)-2-Nonenyl acetate,EFSA FAF,2019,3267,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(2E)-4-Dimethylpent-2-enoic acid,EFSA CEF,2010,2050,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(2E)-4-Dimethylpent-2-enoic acid,EFSA CEF,2013,2375,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(2E)-Geranyl phenylacetate,EFSA CEF,2009,2010,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(2E)-Geranyl phenylacetate,EFSA CEF,2009,2027,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(2E)-Methylcrotonic acid,EFSA CEF,2010,2050,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(2E)-Methylcrotonic acid,EFSA CEF,2013,2375,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,MSI/FC,=,1.0000000000,mg/kg,Pigs
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,MSI/FC,=,1.0000000000,mg/kg,Poultry
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,MSI/FC,=,1.5000000000,mg/kg,Animal not used for food production - unspecified
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,MSI/FC,=,1.5000000000,mg/kg,Cattle
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,MSI/FC,=,1.5000000000,mg/kg,Salmons
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,PNEC,=,903.0000000000,µg/L,Aquatic compartment
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,PNEC,=,2008.0000000000,µg/kg,Soil compartment
"(2E,7R,11R)-Phytol",EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(2E,7R,11R)-Phytyl acetate",EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",EFSA CEF,2010,2043,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",EFSA CEF,2012,2134,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",EFSA CEF,2014,2481,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,ADI,=,0.0400000000,mg/kg bw/day,Consumers
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,AOEL,=,0.0400000000,mg/kg bw/day,Workers
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,ARfD,=,0.0400000000,mg/kg bw,Consumers
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2013,2194,critical study not identified,,,,Consumers
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2013,2194,critical study not identified,,,,Workers
(3S)-Rhodinyl phenylacetate,EFSA AFC,2008,2253,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3S)-Rhodinyl phenylacetate,EFSA CEF,2009,2010,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(3S,6Z)-Nerolidyl acetate",EFSA AFC,2006,2232,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(3S,6Z)-Nerolidyl acetate",EFSA AFC,2009,2314,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(3S,6Z)-Nerolidyl acetate",EFSA CEF,2011,2071,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(3S,6Z)-Nerolidyl acetate",EFSA CEF,2015,2656,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl heptanoate,EFSA AFC,2004,2025,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl heptanoate,EFSA AFC,2008,2240,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl heptanoate,EFSA CEF,2011,2068,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl heptanoate,EFSA CEF,2011,2114,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl heptanoate,EFSA CEF,2013,2180,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl methyl carbonate,EFSA AFC,2004,2025,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl methyl carbonate,EFSA AFC,2008,2240,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl methyl carbonate,EFSA CEF,2011,2068,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl methyl carbonate,EFSA CEF,2011,2114,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Hexenyl methyl carbonate,EFSA CEF,2013,2180,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Nonen-1-ol,EFSA AFC,2008,2240,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Nonen-1-ol,EFSA CEF,2011,2068,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Nonen-1-ol,EFSA CEF,2011,2114,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(3Z)-Nonen-1-ol,EFSA CEF,2013,2180,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",EFSA AFC,2008,2264,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",EFSA CEF,2012,2126,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",EFSA CEF,2014,2566,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
(4Z)-Hepten-1-ol,EFSA AFC,2008,2251,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(4Z)-Hepten-1-ol,EFSA CEF,2010,2055,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(5Z)-Decenal,EFSA AFC,2008,2240,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(5Z)-Decenal,EFSA CEF,2011,2068,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(5Z)-Decenal,EFSA CEF,2011,2114,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(5Z)-Decenal,EFSA CEF,2013,2180,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(5Z)-Octenylpropionate,EFSA AFC,2008,2251,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(5Z)-Octenylpropionate,EFSA CEF,2010,2055,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(6E,10E)-Geranyl linalool",EFSA AFC,2006,2232,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(6E,10E)-Geranyl linalool",EFSA AFC,2009,2314,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(6E,10E)-Geranyl linalool",EFSA CEF,2011,2071,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(6E,10E)-Geranyl linalool",EFSA CEF,2015,2656,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,ADI,=,0.0025000000,mg/kg bw/day,Consumers
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,AOEL,=,0.0025000000,mg/kg bw/day,Workers
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,ARfD,=,0.0050000000,mg/kg bw,Consumers
(Diethoxymethyl)benzene,EFSA AFC,2006,2154,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(Diethoxymethyl)benzene,EFSA AFC,2009,2313,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(Diethoxymethyl)benzene,EFSA CEF,2010,2053,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(Diethoxymethyl)benzene,EFSA CEF,2011,2101,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(Diethoxymethyl)benzene,EFSA CEF,2012,2167,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(E)-2-Octenoic acid,EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(E)-Ethyl dec-2-enoate,EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(E)-Geranyl valerate,EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(E)-Geranylacetone,EFSA AFC,2008,2250,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
(E)-Geranylacetone,EFSA CEF,2012,2144,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
(E)-Geranylacetone,EFSA CEF,2013,2219,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
(E)-Geranylacetone,EFSA CEF,2017,2903,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
(E)-Hexyl 2-hexenoate,EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(E)-pent-2-enoic acid,EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2011,2076,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2012,2144,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2013,2219,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2017,2903,TTC Cramer Class II,=,9.0000000000,µg/kg bw/day,Consumers
"(E,E)-Geranyl 2-methylcrotonate",EFSA CEF,2010,2037,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(E,E)-Hexa-2,4-dienoic acid",EFSA ANS,2015,2667,ADI (group),=,3.0000000000,mg/kg bw/day,Consumers
"(E,E)-Hexa-2,4-dienoic acid",EFSA CEF,2011,2078,ADI (group),=,25.0000000000,mg/kg bw/day,Consumers
"(E,E)-Hexa-2,4-dienoic acid",EFSA FAF,2019,3222,ADI (group),=,11.0000000000,mg/kg bw/day,Consumers
"(E,E)-Hexa-2,4-dienoic acid",EFSA FAF,2019,3258,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(E,E)-Hexa-2,4-dienoic acid",EFSA FEEDAP,2014,2532,ADI,=,25.0000000000,mg/kg bw/day,Consumers
"(E,Z)-2,6-Nonadienyl acetate",EFSA FAF,2019,3258,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(E,Z)-3,6-Nonadien-1-ol",EFSA CEF,2011,2078,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(E;Z)-3,6-Nonadien-1-ol, acetate",EFSA CEF,2011,2068,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(E;Z)-3,6-Nonadien-1-ol, acetate",EFSA CEF,2011,2114,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(E;Z)-3,6-Nonadien-1-ol, acetate",EFSA CEF,2013,2180,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(R)-(+)-Sclareolide,EFSA AFC,2008,2300,TTC Cramer Class III,=,1.5000000000,µg/kg bw/day,Consumers
(R)-(+)-Sclareolide,EFSA CEF,2009,2031,TTC Cramer Class III,=,1.5000000000,µg/kg bw/day,Consumers
(R)-(-)-Lavandulol,EFSA AFC,2004,2025,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(R)-(-)-Lavandulol,EFSA AFC,2008,2240,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(R)-(-)-Lavandulol,EFSA CEF,2011,2068,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(R)-(-)-Lavandulol,EFSA CEF,2011,2114,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(R)-(-)-Lavandulol,EFSA CEF,2013,2180,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,ADI,=,0.0160000000,mg/kg bw/day,Consumers
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,AOEL,=,0.0080000000,mg/kg bw/day,Workers
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,ARfD,=,0.1200000000,mg/kg bw,Consumers
(S)-Methyl lactate,EFSA AFC,2005,2122,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(S)-Methyl lactate,EFSA AFC,2009,2306,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(S)-Methyl lactate,EFSA CEF,2011,2100,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(S)-Methyl lactate,EFSA CEF,2012,2125,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(S)-Terpinyl cinnamate,EFSA CEF,2009,2015,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(S)-campholenyl acetate,EFSA AFC,2008,2286,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(S)-campholenyl acetate,EFSA CEF,2012,2130,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(S)-campholenyl acetate,EFSA CEF,2013,2376,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
