Substance,Author,Year,OutputID,Genotoxicity
(-)-alpha-Santalene,EFSA CEF,2010,2039,Not determined
(-)-alpha-Santalene,EFSA CEF,2011,2102,Not determined
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA AFC,2008,2286,Not determined
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA CEF,2012,2130,Not determined
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA CEF,2013,2376,Not determined
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA CEF,2014,2561,No data
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",EFSA AFC,2008,2256,Negative
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",EFSA FEEDAP,2016,2822,Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA AFC,2008,2286,Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA CEF,2012,2130,Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA CEF,2013,2376,Not determined
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA CEF,2014,2561,No data
"(1R,2R,5S)-Isodihydrocarveol",EFSA AFC,2005,2061,Not determined
"(1R,2R,5S)-Isodihydrocarveol",EFSA AFC,2009,2301,Not determined
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2010,2059,Not determined
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2011,2113,Not determined
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2012,2140,Not determined
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2014,2563,Negative
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2015,2693,Negative
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA AFC,2009,2301,Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2010,2059,Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2011,2113,Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2012,2140,Not determined
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2014,2563,Negative
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",EFSA CEF,2015,2693,Negative
"(1R,2S,5R)-Menthyl hexanoate",EFSA AFC,2005,2061,Not determined
"(1R,2S,5R)-Menthyl hexanoate",EFSA AFC,2009,2301,Not determined
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2010,2059,Not determined
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2011,2113,Not determined
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2012,2140,Not determined
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2014,2563,Negative
"(1R,2S,5R)-Menthyl hexanoate",EFSA CEF,2015,2693,Negative
"(1R,2S,5R)-Menthyl salicylate",EFSA AFC,2005,2061,Not determined
"(1R,2S,5R)-Menthyl salicylate",EFSA AFC,2009,2301,Not determined
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2010,2059,Not determined
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2011,2113,Not determined
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2012,2140,Not determined
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2014,2563,Negative
"(1R,2S,5R)-Menthyl salicylate",EFSA CEF,2015,2693,Negative
"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",EFSA CEF,2012,2147,Negative
"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",EFSA CEF,2014,2524,Negative
"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",EFSA CEF,2012,2147,Negative
"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",EFSA CEF,2014,2524,Negative
"(1R,2S,5R)-N-Cyclopropyl-5-methyl-2-isopropyl cyclohexanecarboxamide",EFSA CEF,2012,2147,Not determined
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",EFSA CEF,2010,2043,Not determined
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",EFSA CEF,2012,2134,Negative
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",EFSA CEF,2014,2481,Negative
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",EFSA AFC,2008,2263,Not determined
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",EFSA CEF,2011,2080,Not determined
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",EFSA CEF,2015,2601,Not determined
"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",EFSA AFC,2009,2302,Negative
"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",EFSA CEF,2011,2078,Negative
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA AFC,2005,2061,Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA AFC,2009,2301,Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2010,2059,Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2011,2113,Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2012,2140,Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2014,2563,Negative
"(1R,2S,5S)-neo-Dihydrocarveol",EFSA CEF,2015,2693,Negative
"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",EFSA CEF,2012,2147,Negative
"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",EFSA CEF,2014,2524,Negative
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA AFC,2007,2237,Negative
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA AFC,2008,2280,Not determined
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA CEF,2011,2072,Not determined
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA CEF,2011,2115,Not determined
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",EFSA CEF,2013,2181,Not determined
(2-Amino-6-cyclopropyl-pyrimidin-4-yl)-methanol,EFSA,2006,1062,Negative
(2E)-2-Nonenyl acetate,EFSA CEF,2014,2498,Ambiguous
(2E)-2-Nonenyl acetate,EFSA CEF,2018,3155,Negative
(2E)-2-Nonenyl acetate,EFSA FAF,2019,3267,Negative
(2E)-3-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propen-1-ol,EFSA,2017,2965,Negative
(2E)-4-Dimethylpent-2-enoic acid,EFSA CEF,2010,2050,Negative
(2E)-4-Dimethylpent-2-enoic acid,EFSA CEF,2013,2375,Negative
(2E)-Geranyl phenylacetate,EFSA CEF,2009,2010,Negative
(2E)-Geranyl phenylacetate,EFSA CEF,2009,2027,Negative
(2E)-Methylcrotonic acid,EFSA CEF,2010,2050,Negative
(2E)-Methylcrotonic acid,EFSA CEF,2013,2375,Negative
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,Not determined
"(2E, 13Z)-Octadecadien-1-yl Acetate",EFSA,2014,2438,Negative
"(2E,7R,11R)-Phytol",EFSA CEF,2009,2027,Negative
"(2E,7R,11R)-Phytol",EFSA CEF,2010,2037,Not determined
"(2E,7R,11R)-Phytyl acetate",EFSA CEF,2009,2027,Negative
"(2E,7R,11R)-Phytyl acetate",EFSA CEF,2010,2037,Not determined
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",EFSA CEF,2010,2043,Negative
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",EFSA CEF,2012,2134,Negative
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",EFSA CEF,2014,2481,Negative
(2RS)- 2-[(dimethoxyphosphorothioyl)sulfanyl]-4-ethoxy-4-oxobutanoic acid,EFSA,2009,1190,Negative
"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",EFSA CEF,2012,2147,Not determined
"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",EFSA CEF,2014,2524,Negative
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Negative
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2013,2194,No data
(3S)-Rhodinyl phenylacetate,EFSA AFC,2008,2253,Not determined
(3S)-Rhodinyl phenylacetate,EFSA CEF,2009,2010,Not determined
"(3S,6Z)-Nerolidyl acetate",EFSA AFC,2006,2232,Negative
"(3S,6Z)-Nerolidyl acetate",EFSA AFC,2009,2314,Negative
"(3S,6Z)-Nerolidyl acetate",EFSA CEF,2011,2071,Negative
"(3S,6Z)-Nerolidyl acetate",EFSA CEF,2015,2656,Negative
(3Z)-Hexenyl heptanoate,EFSA AFC,2004,2025,Negative
(3Z)-Hexenyl heptanoate,EFSA AFC,2008,2240,Negative
(3Z)-Hexenyl heptanoate,EFSA CEF,2011,2068,Negative
(3Z)-Hexenyl heptanoate,EFSA CEF,2011,2114,Negative
(3Z)-Hexenyl heptanoate,EFSA CEF,2013,2180,Negative
(3Z)-Hexenyl methyl carbonate,EFSA AFC,2004,2025,Negative
(3Z)-Hexenyl methyl carbonate,EFSA AFC,2008,2240,Negative
(3Z)-Hexenyl methyl carbonate,EFSA CEF,2011,2068,Negative
(3Z)-Hexenyl methyl carbonate,EFSA CEF,2011,2114,Negative
(3Z)-Hexenyl methyl carbonate,EFSA CEF,2013,2180,Negative
(3Z)-Nonen-1-ol,EFSA AFC,2008,2240,Negative
(3Z)-Nonen-1-ol,EFSA CEF,2011,2068,Negative
(3Z)-Nonen-1-ol,EFSA CEF,2011,2114,Negative
(3Z)-Nonen-1-ol,EFSA CEF,2013,2180,Negative
(4-Chloro-phenyl)-prop-2-ynyloxy-acetic acid,EFSA,2012,1350,Not determined
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",EFSA AFC,2008,2264,Not determined
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",EFSA CEF,2012,2126,Not determined
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",EFSA CEF,2014,2566,Not determined
"(4R,6S)-2,4,6-trimethyl-1,3,5-dithiazinane",EFSA AFC,2008,2289,Not determined
"(4R,6S)-2,4,6-trimethyl-1,3,5-dithiazinane",EFSA CEF,2013,2381,Not determined
(4Z)-Hepten-1-ol,EFSA AFC,2008,2251,Negative
(4Z)-Hepten-1-ol,EFSA CEF,2010,2055,Not determined
"(5-Chloro-2-methoxy-4-methyl-3-pyridinyl)(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone",EFSA,2013,2201,Negative
(5S)-3-benzyl-5-methylfuran-2(5H)-one,EFSA,2018,3027,Not determined
(5Z)-Decenal,EFSA AFC,2008,2240,Negative
(5Z)-Decenal,EFSA CEF,2011,2068,Negative
(5Z)-Decenal,EFSA CEF,2011,2114,Negative
(5Z)-Decenal,EFSA CEF,2013,2180,Negative
(5Z)-Octenylpropionate,EFSA AFC,2008,2251,Negative
(5Z)-Octenylpropionate,EFSA CEF,2010,2055,Not determined
"(6E,10E)-Geranyl linalool",EFSA AFC,2006,2232,Negative
"(6E,10E)-Geranyl linalool",EFSA AFC,2009,2314,Negative
"(6E,10E)-Geranyl linalool",EFSA CEF,2011,2071,Negative
"(6E,10E)-Geranyl linalool",EFSA CEF,2015,2656,Negative
"(6S)-5-Methyltetrahydrofolic acid, glucosamine salt",EFSA ANS,2013,2369,Negative
"(7-Amino-5-ethyl[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid",EFSA,2012,1349,Negative
"(7E, 9Z)-Dodecadien-1-yl Acetate",EFSA,2014,2438,Negative
"(7E, 9Z)-Dodecadienyl Acetate and (7E, 9E)-Dodecadienyl Acetate mixture",EFSA,2014,2438,Negative
"(7Z, 11E)-Hexadecadien-1-yl Acetate",EFSA,2014,2438,Negative
"(7Z, 11Z)-Hexadecadien-1-yl acetate and (7Z, 11E)-Hexadecadien-1-yl acetate mixture",EFSA,2014,2438,Negative
"(8,9-Z)-isomer of avermectin B1a",EFSA,2016,2831,Negative
"(9Z, 12E)-Tetradecadien-1-yl acetate",EFSA,2014,2438,Negative
(Diethoxymethyl)benzene,EFSA AFC,2006,2154,Negative
(Diethoxymethyl)benzene,EFSA AFC,2009,2313,Negative
(Diethoxymethyl)benzene,EFSA CEF,2010,2053,Negative
(Diethoxymethyl)benzene,EFSA CEF,2011,2101,Negative
(Diethoxymethyl)benzene,EFSA CEF,2012,2167,Negative
(E)-11-Tetradecenyl Acetate,EFSA,2014,2438,Negative
(E)-2-Methyl-1-methylthio-2-butene,EFSA CEF,2010,2042,Not determined
(E)-2-Methyl-1-methylthio-2-butene,EFSA CEF,2011,2121,Not determined
(E)-2-Methyl-1-methylthio-2-butene,EFSA CEF,2014,2496,Negative
(E)-2-Octenoic acid,EFSA CEF,2010,2037,Not determined
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",EFSA CEF,2011,2071,Negative
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",EFSA CEF,2012,2168,No data
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",EFSA CEF,2015,2656,Negative
(E)-8-Dodecenyl Acetate,EFSA,2014,2438,Negative
(E)-Ethyl dec-2-enoate,EFSA CEF,2010,2037,Not determined
(E)-Ethyl furfuracrylate,EFSA AFC,2005,2096,Negative
(E)-Ethyl furfuracrylate,EFSA CEF,2010,2051,Negative
(E)-Ethyl furfuracrylate,EFSA CEF,2011,2110,Negative
(E)-Geranyl valerate,EFSA CEF,2009,2027,Negative
(E)-Geranyl valerate,EFSA CEF,2010,2037,Not determined
(E)-Geranylacetone,EFSA AFC,2008,2250,Negative
(E)-Geranylacetone,EFSA CEF,2012,2144,Not determined
(E)-Geranylacetone,EFSA CEF,2013,2219,Not determined
(E)-Geranylacetone,EFSA CEF,2017,2903,Negative
(E)-Hexyl 2-hexenoate,EFSA CEF,2010,2037,Not determined
(E)-pent-2-enoic acid,EFSA CEF,2010,2037,Not determined
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2011,2076,Negative
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2012,2144,Not determined
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2013,2219,Not determined
"(E,E)-3,5-Octadien-2-one",EFSA CEF,2017,2903,Negative
"(E,E)-8,10-Dodecadien-1-ol",EFSA,2014,2438,Negative
"(E,E)-Geranyl 2-methylcrotonate",EFSA CEF,2009,2027,Negative
"(E,E)-Geranyl 2-methylcrotonate",EFSA CEF,2010,2037,Not determined
"(E,E)-Hexa-2,4-dienoic acid",EFSA ANS,2015,2667,Negative
"(E,E)-Hexa-2,4-dienoic acid",EFSA CEF,2009,2035,Not determined
"(E,E)-Hexa-2,4-dienoic acid",EFSA CEF,2011,2078,Negative
"(E,E)-Hexa-2,4-dienoic acid",EFSA FAF,2019,3222,Negative
"(E,E)-Hexa-2,4-dienoic acid",EFSA FAF,2019,3258,Negative
"(E,E)-Hexa-2,4-dienoic acid",EFSA FEEDAP,2014,2532,No data
"(E,E)-piperidine",EFSA AFC,2008,2263,Negative
"(E,E)-piperidine",EFSA CEF,2011,2080,Negative
"(E,E)-piperidine",EFSA CEF,2015,2601,Negative
"(E,Z)-2,6-Nonadienyl acetate",EFSA CEF,2014,2498,Ambiguous
"(E,Z)-2,6-Nonadienyl acetate",EFSA CEF,2018,3155,Negative
"(E,Z)-2,6-Nonadienyl acetate",EFSA FAF,2019,3258,Negative
"(E,Z)-3,6-Nonadien-1-ol",EFSA AFC,2008,2251,Negative
"(E,Z)-3,6-Nonadien-1-ol",EFSA CEF,2010,2055,Not determined
"(E,Z)-3,6-Nonadien-1-ol",EFSA CEF,2011,2078,Negative
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,EFSA,2014,2438,Negative
"(E;Z)-3,6-Nonadien-1-ol, acetate",EFSA CEF,2011,2068,Negative
"(E;Z)-3,6-Nonadien-1-ol, acetate",EFSA CEF,2011,2114,Negative
"(E;Z)-3,6-Nonadien-1-ol, acetate",EFSA CEF,2013,2180,Negative
(R)-(+)-Menthofuran,EFSA AFC,2008,2161,Not determined
(R)-(+)-Pulegone,EFSA AFC,2008,2161,Not determined
(R)-(+)-Sclareolide,EFSA AFC,2008,2300,Negative
(R)-(+)-Sclareolide,EFSA CEF,2009,2031,Negative
(R)-(-)-Lavandulol,EFSA AFC,2004,2025,Negative
(R)-(-)-Lavandulol,EFSA AFC,2008,2240,Negative
(R)-(-)-Lavandulol,EFSA CEF,2011,2068,Negative
(R)-(-)-Lavandulol,EFSA CEF,2011,2114,Negative
(R)-(-)-Lavandulol,EFSA CEF,2013,2180,Negative
"(R)-N,N-Dimethylphenethylamine",EFSA AFC,2008,2263,Not determined
"(R)-N,N-Dimethylphenethylamine",EFSA CEF,2011,2080,Negative
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",EFSA,2014,2435,Negative
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate preparation (GF1478)",EFSA,2014,2435,No data
"(S)-1-(3-(((4-amino-2,2-dioxido-1H-benzo[c][1,2,6]thiadiazin-5-yl)oxy)methyl)piperidin-1- yl)-3-methylbutan-1-one",EFSA CEF,2018,3036,Negative
(S)-1-Methoxy-3-heptanethiol,EFSA CEF,2010,2042,Not determined
(S)-1-Methoxy-3-heptanethiol,EFSA CEF,2011,2121,Not determined
(S)-1-Methoxy-3-heptanethiol,EFSA CEF,2014,2496,Negative
"(S)-2,5-dimethyl-3-thiofuroylfuran",EFSA CEF,2010,2054,Not determined
"(S)-2,5-dimethyl-3-thiofuroylfuran",EFSA CEF,2015,2620,Not determined
(S)-Methyl lactate,EFSA AFC,2005,2122,Negative
(S)-Methyl lactate,EFSA AFC,2009,2306,Negative
(S)-Methyl lactate,EFSA CEF,2011,2100,Not determined
(S)-Methyl lactate,EFSA CEF,2012,2125,Not determined
(S)-Methyl octanethioate,EFSA CEF,2010,2007,Not determined
(S)-Methyl octanethioate,EFSA CEF,2010,2056,Not determined
(S)-Methyl octanethioate,EFSA CEF,2011,2082,Not determined
(S)-Methyl octanethioate,EFSA CEF,2012,2117,Not determined
(S)-Methyl octanethioate,EFSA CEF,2012,2141,Not determined
(S)-Terpinyl cinnamate,EFSA CEF,2009,2015,Not determined
(S)-campholenyl acetate,EFSA AFC,2008,2286,Not determined
(S)-campholenyl acetate,EFSA CEF,2012,2130,Not determined
(S)-campholenyl acetate,EFSA CEF,2013,2376,Not determined
(S)-campholenyl acetate,EFSA CEF,2014,2561,No data
(Z)-11-Hexadecen-1-ol,EFSA,2014,2438,Negative
(Z)-11-Hexadecen-1-yl Acetate,EFSA,2014,2438,Negative
(Z)-11-Hexadecenal,EFSA,2014,2438,No data
(Z)-11-Hexadecenal and (Z)-11-Hexadecen-1-yl acetate mixture,EFSA,2014,2438,No data
(Z)-11-Tetradecenyl Acetate,EFSA,2014,2438,Negative
(Z)-13-Octadecenal,EFSA,2014,2438,No data
(Z)-4-Hepten-2-ol,EFSA CEF,2009,2006,Negative
(Z)-4-Hepten-2-ol,EFSA CEF,2010,2069,Negative
(Z)-4-Hepten-2-ol,EFSA CEF,2012,2143,Negative
(Z)-4-Hepten-2-ol,EFSA CEF,2017,2914,Negative
(Z)-4-Hepten-2-yl butyrate,EFSA AFC,2005,2060,Negative
(Z)-4-Hepten-2-yl butyrate,EFSA AFC,2008,2255,Negative
(Z)-4-Hepten-2-yl butyrate,EFSA CEF,2009,2006,Negative
(Z)-4-Hepten-2-yl butyrate,EFSA CEF,2010,2069,Negative
(Z)-4-Hepten-2-yl butyrate,EFSA CEF,2012,2143,Negative
(Z)-4-Hepten-2-yl butyrate,EFSA CEF,2017,2914,Negative
(Z)-5-Octen-2-one,EFSA AFC,2008,2255,Negative
(Z)-5-Octen-2-one,EFSA CEF,2009,2006,Negative
(Z)-5-Octen-2-one,EFSA CEF,2010,2069,Negative
(Z)-5-Octen-2-one,EFSA CEF,2012,2143,Negative
(Z)-5-Octen-2-one,EFSA CEF,2017,2914,Negative
(Z)-7-Tetradecenal,EFSA,2014,2438,No data
(Z)-8-Dodecenol,EFSA,2014,2438,Negative
(Z)-8-Dodecenyl Acetate,EFSA,2014,2438,Negative
(Z)-8-Dodecenyl Acetate and Dodecan-1-yl Acetate mixture,EFSA,2014,2438,Negative
(Z)-9-Dodecenyl Acetate,EFSA,2014,2438,Negative
(Z)-9-Dodecenyl Acetate and Dodecan-1-yl Acetate,EFSA,2014,2438,Negative
(Z)-9-Hexadecenal,EFSA,2014,2438,No data
(Z)-9-Tetradecenyl Acetate,EFSA,2014,2438,Negative
"(Z)-9-hexadecenal, (Z)-11-hexadecenal and (Z)-13-octadecenal mixture",EFSA,2014,2438,No data
(Z)-Cycloheptadec-9-en-1-one,EFSA AFC,2009,2302,Not determined
(Z)-Hept-4-enal,EFSA FEEDAP,2016,2864,Not determined
(Z)-Hex-3-enyl salicylate,EFSA AFC,2006,2154,Negative
(Z)-Hex-3-enyl salicylate,EFSA AFC,2009,2313,Negative
(Z)-Hex-3-enyl salicylate,EFSA CEF,2010,2053,Negative
(Z)-Hex-3-enyl salicylate,EFSA CEF,2011,2101,Negative
(Z)-Hex-3-enyl salicylate,EFSA CEF,2012,2167,Negative
(Z)-Nerol,EFSA CEF,2009,2027,Negative
(Z)-Nerol,EFSA CEF,2010,2050,Negative
(Z)-Nerol,EFSA CEF,2013,2375,Negative
(Z)-Nerol,EFSA FEEDAP,2016,2841,Not determined
(Z)-Non-6-en-1-ol,EFSA FEEDAP,2016,2864,Not determined
"(Z,Z)-Nona-3,6-dien-1-ol",EFSA AFC,2008,2251,Negative
"(Z,Z)-Nona-3,6-dien-1-ol",EFSA CEF,2010,2055,Not determined
"(Z,Z)-Nona-3,6-dien-1-ol",EFSA CEF,2011,2078,Negative
(l)-Alpha-bisabolol,EFSA CEF,2011,2071,Negative
(l)-Alpha-bisabolol,EFSA CEF,2015,2656,Negative
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",EFSA CEF,2015,2613,No data
(tetrahydrofuryl)methyl phenylacetate,EFSA AFC,2008,2297,Not determined
({2-[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino]-2-oxoethyl}sulfinyl) acetic acid,EFSA,2010,1241,Negative
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,EFSA,2011,1289,Negative
"1(5),11-Guaiadiene",EFSA AFC,2008,2299,Not determined
"1(5),11-Guaiadiene",EFSA CEF,2010,2039,Not determined
"1(5),11-Guaiadiene",EFSA CEF,2011,2102,Not determined
"1(5),7(11)-Guaiadiene",EFSA AFC,2009,2305,Not determined
"1(5),7(11)-Guaiadiene",EFSA CEF,2011,2103,Not determined
"1(5),7(11)-Guaiadiene",EFSA CEF,2015,2635,Not determined
"1,1'-(tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bisethanone",EFSA CEF,2011,2032,Not determined
"1,1'-Ethylidene-bis-L-tryptophan",EFSA FEEDAP,2019,3180,No data
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",EFSA CONTAM,2006,73,Positive
"1,1,3,3-Tetramethylthiourea",EFSA,2017,3606,Ambiguous
"1,1,3-Triethoxypropane",EFSA AFC,2005,2122,Negative
"1,1,3-Triethoxypropane",EFSA AFC,2009,2306,Negative
"1,1,3-Triethoxypropane",EFSA CEF,2011,2100,Not determined
"1,1,3-Triethoxypropane",EFSA CEF,2012,2125,Negative
"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",EFSA AFC,2008,2299,Not determined
"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",EFSA CEF,2010,2039,Not determined
"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",EFSA CEF,2011,2102,Not determined
"1,1-Di-(2-methylbutoxy)ethane",EFSA AFC,2004,2023,Not determined
"1,1-Di-(2-methylbutoxy)ethane",EFSA AFC,2008,2246,Negative
