Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
(-)-Angustifoline,as such,(-)-Angustifoline,550-43-6,,C14H22N2O,C=CCC1C2CC(CN1)C3CCCC(=O)N3C2
(-)-Bornyl acetate,as such,(-)-Bornyl acetate,5655-61-8,227-101-4,C12H20O2,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C
(-)-Cytisine,as such,(-)-Cytisine,485-35-8,,C11H14N2O,C1C2CNCC1C3=CC=CC(=O)N3C2
(-)-Hyoscyamine and (-)-Scopolamine group,part of group assessment,(-)-Hyoscyamine,101-31-5,202-933-0,C17H23NO3,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3
(-)-Hyoscyamine and (-)-Scopolamine group,part of group assessment,(-)-Scopolamine,51-34-3,200-090-3,C17H21NO4,CN1[C@@H]2CC(C[C@H]1C3C2O3)OC(=O)[C@H](CO)C4=CC=CC=C4
(-)-Lupinine,as such,(-)-Lupinine,486-70-4,,C10H19NO,C1CCN2CCCC(C2C1)CO
(-)-Rhodinol,as such,(-)-Rhodinol,6812-78-8,229-887-4,C10H20O,C[C@@H](CCCC(=C)C)CCO
(-)-Scopolamine,as such,(-)-Scopolamine,51-34-3,200-090-3,C17H21NO4,CN1[C@@H]2CC(C[C@H]1C3C2O3)OC(=O)[C@H](CO)C4=CC=CC=C4
(-)-Sparteine,as such,(-)-Sparteine,90-39-1,201-988-8,C15H26N2,C1CCN2CC3CC(C2C1)CN4C3CCCC4
(-)-alpha-Santalene,as such,(-)-alpha-Santalene,512-61-8,,C15H24,CC(=CCCC1(C2CC3C1(C3C2)C)C)C
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",as such,"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",4501-58-0,224-815-8,C10H16O,O=CC[C@@H]1C(C)(C)C(C)=CC1
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",as such,"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",464-49-3,207-355-2,C10H16O,O=C1[C@@](CC2)(C)[C@@](C)(C)[C@H]2C1
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",as such,"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",55253-28-6,,C10H16O,C[C@@H]1CC[C@@H]([C@@H]1C=O)C(=C)C
"(1R,2R,5S)-Isodihydrocarveol",as such,"(1R,2R,5S)-Isodihydrocarveol",18675-35-9,,C10H18O,C[C@@H]1CC[C@@H](C[C@H]1O)C(=C)C
"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",as such,"(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl valerate",89-47-4,201-910-2,,CCCCC(=O)OC1CC(C)CCC1C(C)C
"(1R,2S,5R)-Menthyl hexanoate",as such,"(1R,2S,5R)-Menthyl hexanoate",6070-16-2,228-007-6,C16H30O2,CCCCCC(=O)OC1CC(C)CCC1C(C)C
"(1R,2S,5R)-Menthyl salicylate",as such,"(1R,2S,5R)-Menthyl salicylate",89-46-3,201-909-7,C17H24O3,O=C(C2=C(O)C=CC=C2)OC1C(C(C)C)CCC(C)C1
"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",as such,"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",847565-09-7,,C18H28N2O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NCCC2=CC=CC=N2)C(C)C
"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",as such,"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",68489-09-8,700-232-9,C18H27NO2,CC(C)[C@@H]2CCC(C)C[C@H]2C(=O)Nc1ccc(OC)cc1
"(1R,2S,5R)-N-Cyclopropyl-5-methyl-2-isopropyl cyclohexanecarboxamide",as such,"(1R,2S,5R)-N-Cyclopropyl-5-methyl-2-isopropyl cyclohexanecarboxamide",73435-61-7,,C14H25NO,CC1CCC(C(C1)C(=O)NC2CC2)C(C)C
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",as such,"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",68489-14-5,,C15H27NO3,CCOC(=O)CNC(=O)C1CC(CCC1C(C)C)C
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",as such,"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",544714-08-1,,C16H30O2N2,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CCC(=O)N(C)C)C(C)C
"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",as such,"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",195863-84-4,,C14H28O5,CC(C)[C@@H]1CC[C@@H](C)CC1OCC(C)(O)CO
"(1R,2S,5S)-neo-Dihydrocarveol",as such,"(1R,2S,5S)-neo-Dihydrocarveol",18675-33-7,,C10H18O,CC1CCC(CC1O)C(=C)C
"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",as such,"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",852379-28-3,,C19H26N2O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)CC#N)C(C)C
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",as such,"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",57709-95-2,,C12H20O3,C[C@]21CC[C@@H](C[C@@H]1OC(C)=O)C(C)(C)O2
(2-Amino-6-cyclopropyl-pyrimidin-4-yl)-methanol,as such,(2-Amino-6-cyclopropyl-pyrimidin-4-yl)-methanol,,,C8H11N3O,Nc1nc(cc(CO)n1)C2CC2
(2-Amino-6-cyclopropyl-pyrimidin-4-yl)-methanol,metabolite,Cyprodinil,121552-61-2,601-785-8,C14H15N3,CC1=NC(NC3=CC=CC=C3)=NC(C2CC2)=C1
(2E)-2-Nonenyl acetate,as such,(2E)-2-Nonenyl acetate,30418-89-4,250-190-6,C11H20O2,CCCCCC/C=C/COC(=O)C
(2E)-3-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propen-1-ol,as such,(2E)-3-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propen-1-ol,,,C14H15N3O,OC\C=C\c2cc(C)nc(Nc1ccccc1)n2
(2E)-3-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propen-1-ol,metabolite,Mepanipyrim,110235-47-7,,C14H13N3,CC#CC1=CC(=NC(=N1)NC2=CC=CC=C2)C
(2E)-4-Dimethylpent-2-enoic acid,as such,(2E)-4-Dimethylpent-2-enoic acid,2106-46-6,606-686-2,C7H12O2,CC(C)\C=C(/C)C(=O)O
(2E)-Geranyl phenylacetate,as such,(2E)-Geranyl phenylacetate,102-22-7,203-014-7,C18H24O2,CC(=CCC\C(=C\COC(=O)Cc1ccccc1)\C)C
(2E)-Methylcrotonic acid,as such,(2E)-Methylcrotonic acid,80-59-1,201-295-0,C5H8O2,C\C=C(/C)\C(=O)O
"(2E, 13Z)-Octadecadien-1-yl Acetate",as such,"(2E, 13Z)-Octadecadien-1-yl Acetate",86252-74-6,,C20H36O2,CCCC/C=C\CCCCCCCCC/C=C/COC(=O)C
"(2E,7R,11R)-Phytol",as such,"(2E,7R,11R)-Phytol",150-86-7,205-776-6,C20H40O,OC/C=C(C)/CCC[C@]([H])(C)CCC[C@]([H])(C)CCCC(C)C
"(2E,7R,11R)-Phytyl acetate",as such,"(2E,7R,11R)-Phytyl acetate",10236-16-5,233-565-9,C22H42O2,C[C@@H](CCC[C@@H](C)CCC/C(=C/COC(=O)C)/C)CCCC(C)C
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",as such,"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",686298-93-1,,C8H7NO7,C(CO)NC(=O)C(C(C(C(CO)O)O)O)O
(2RS)- 2-[(dimethoxyphosphorothioyl)sulfanyl]-4-ethoxy-4-oxobutanoic acid,as such,(2RS)- 2-[(dimethoxyphosphorothioyl)sulfanyl]-4-ethoxy-4-oxobutanoic acid,1190-29-0,,C8H15O6PS2,CCOC(=O)CC(C(=O)O)SP(=S)(OC)OC
(2RS)- 2-[(dimethoxyphosphorothioyl)sulfanyl]-4-ethoxy-4-oxobutanoic acid,metabolite,Malathion,121-75-5,204-497-7,C10H19O6PS2,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",as such,"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",1119711-29-3,,C19H28N2O2,CC(C)[C@@H]2CC[C@@H](C)CC2C(=O)Nc1ccc(CC(N)=O)cc1
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",part of,"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone",61213-25-0,262-661-3,C12H10Cl2F3NO,CN1C=C(C(=N1)C(F)(F)F)C(=O)N
(3S)-Rhodinyl phenylacetate,as such,(3S)-Rhodinyl phenylacetate,10486-14-3,234-003-5,C18H26O2,C[C@@H](CCCC(=C)C)CCOC(=O)Cc1ccccc1
"(3S,6Z)-Nerolidyl acetate",as such,"(3S,6Z)-Nerolidyl acetate",56001-43-5,259-941-2,C17H28O2,CC(=CCC/C(=C\CC[C@@](C)(C=C)OC(=O)C)/C)C
(3Z)-Hexenyl heptanoate,as such,(3Z)-Hexenyl heptanoate,61444-39-1,262-798-9,C13H24O2,CCCCCCC(=O)OCC\C=C/CC
(3Z)-Hexenyl methyl carbonate,as such,(3Z)-Hexenyl methyl carbonate,67633-96-9,266-797-4,C8H14O3,CC\C=C/CCOC(=O)OC
(3Z)-Nonen-1-ol,as such,(3Z)-Nonen-1-ol,10340-23-5,233-735-2,C9H18O,CCCCC\C=C/CCO
(4-Chloro-phenyl)-prop-2-ynyloxy-acetic acid,as such,(4-Chloro-phenyl)-prop-2-ynyloxy-acetic acid,,,C14H14ClNO4,Clc1ccc(cc1)C(OCC#C)C(=O)NCCC(=O)O
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",as such,"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",20489-53-6,,C15H24O,CC1CC(=O)CC2C1(CC(CC2)C(=C)C)C
"(4R,6S)-2,4,6-trimethyl-1,3,5-dithiazinane",as such,"(4R,6S)-2,4,6-trimethyl-1,3,5-dithiazinane",638-17-5,211-323-3,C6H13NS2,C[C@H]1N[C@@H](C)SC(C)S1
(4Z)-Hepten-1-ol,as such,(4Z)-Hepten-1-ol,6191-71-5,228-238-2,C7H14O,CC\C=C/CCCO
"(5-Chloro-2-methoxy-4-methyl-3-pyridinyl)(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone",as such,"(5-Chloro-2-methoxy-4-methyl-3-pyridinyl)(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone",,,C16H16ClNO5,COc2ncc(Cl)c(C)c2C(=O)c1c(C)cc(OC)c(O)c1O
"(5-Chloro-2-methoxy-4-methyl-3-pyridinyl)(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone",metabolite,Pyriofenone,688046-61-9,,C18H20ClNO5,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC
(5S)-3-benzyl-5-methylfuran-2(5H)-one,as such,(5S)-3-benzyl-5-methylfuran-2(5H)-one,,,C12H12O2,O=C\1O[C@H](/C=C/1Cc2ccccc2)C
(5S)-3-benzyl-5-methylfuran-2(5H)-one,metabolite,Fenpicoxamid,517875-34-2,,,C[C@H]1[C@@H]([C@H](C(=O)OC[C@H](C(=O)O1)NC(=O)C2=NC=CC(=C2OCOC(=O)C(C)C)OC)CC3=CC=CC=C3)OC(=O)C(C)C
(5Z)-Decenal,as such,(5Z)-Decenal,21662-08-8,,C10H18O,CCCC\C=C/CCCC=O
(5Z)-Octenylpropionate,as such,(5Z)-Octenylpropionate,196109-18-9,,C11H20O2,O=C(OCCCC\C=C/CC)CC
"(6E,10E)-Geranyl linalool",as such,"(6E,10E)-Geranyl linalool",1113-21-9,214-201-8,C20H34O,CC(=CCC\C(=C\CC\C(=C\CCC(C)(O)C=C)\C)\C)C
"(6S)-5-Methyltetrahydrofolic acid, glucosamine salt",as such,"(6S)-5-Methyltetrahydrofolic acid, glucosamine salt",1181972-37-1,,C32H51N9O16,CN1[C@H](CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.C([C@H]([C@H]([C@@H]([C@H](C=O)N)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C=O)N)O)O)O)O
"(7-Amino-5-ethyl[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid",as such,"(7-Amino-5-ethyl[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid",,,C9H11N5O2,O=C(O)Cc1c(N)n2ncnc2nc1CC
"(7-Amino-5-ethyl[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid",metabolite,Ametoctradin,865318-97-4,,C15H25N5,n1c(c(c(n2ncnc12)N)CCCCCCCC)CC
"(7E, 9Z)-Dodecadien-1-yl Acetate",as such,"(7E, 9Z)-Dodecadien-1-yl Acetate",54364-62-4,259-127-7,,CC/C=C\C=C\CCCCCCOC(=O)C
"(7E, 9Z)-Dodecadienyl Acetate and (7E, 9E)-Dodecadienyl Acetate mixture",part of,"(7E, 9E)-Dodecadienyl Acetate",54364-63-5,,C14H26O3,CCC=CC=CCCCCCCO.CC(=O)O
"(7E, 9Z)-Dodecadienyl Acetate and (7E, 9E)-Dodecadienyl Acetate mixture",part of,"(7E, 9Z)-Dodecadien-1-yl Acetate",54364-62-4,259-127-7,,CC/C=C\C=C\CCCCCCOC(=O)C
"(7Z, 11E)-Hexadecadien-1-yl Acetate",as such,"(7Z, 11E)-Hexadecadien-1-yl Acetate",53042-79-8,,C18H32O2,CCCC/C=C/CC/C=C\CCCCCCOC(=O)C
"(7Z, 11Z)-Hexadecadien-1-yl acetate and (7Z, 11E)-Hexadecadien-1-yl acetate mixture",part of,"(7Z, 11E)-Hexadecadien-1-yl Acetate",53042-79-8,,C18H32O2,CCCC/C=C/CC/C=C\CCCCCCOC(=O)C
"(7Z, 11Z)-Hexadecadien-1-yl acetate and (7Z, 11E)-Hexadecadien-1-yl acetate mixture",part of,"(7Z, 11Z)-Hexadecadien-1-yl Acetate",52207-99-5,257-737-8,C18H32O2,CCCC/C=C\CC/C=C\CCCCCCOC(=O)C
"(8,9-Z)-isomer of avermectin B1a",as such,"(8,9-Z)-isomer of avermectin B1a",,,,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@@H]2[C@@H](OC)C[C@@H](O[C@H]2C)O[C@@H]3C(C)=CC[C@@H]6C[C@H](OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@H]3C)[C@@]45O)C[C@@]7(O6)C=C[C@H](C)[C@H](O7)[C@@H](C)CC
"(8,9-Z)-isomer of avermectin B1a",metabolite,Abamectin,71751-41-2,,,
"(9Z, 12E)-Tetradecadien-1-yl acetate",as such,"(9Z, 12E)-Tetradecadien-1-yl acetate",31654-77-0,250-753-6,,C/C=C/C/C=C\CCCCCCCCOC(=O)C
(Diethoxymethyl)benzene,as such,(Diethoxymethyl)benzene,774-48-1,212-265-1,C11H16O2,CCOC(OCC)c1ccccc1
(E)-11-Tetradecenyl Acetate,as such,(E)-11-Tetradecenyl Acetate,33189-72-9,251-401-4,C16H30O2,CC/C=C/CCCCCCCCCCOC(=O)C
(E)-2-Methyl-1-methylthio-2-butene,as such,(E)-2-Methyl-1-methylthio-2-butene,89534-74-7,,C6H12S,C/C=C(\C)/CSC
(E)-2-Octenoic acid,as such,(E)-2-Octenoic acid,1871-67-6,217-491-4,,CCCCC/C=C/C(=O)O
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",as such,"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",53834-70-1,258-818-0,C10H16O,CC(O)(C=C)C/C=C/C(C)=C
(E)-8-Dodecenyl Acetate,as such,(E)-8-Dodecenyl Acetate,38363-29-0,253-904-4,C14H26O2,CCC/C=C/CCCCCCCOC(=O)C
(E)-Ethyl dec-2-enoate,as such,(E)-Ethyl dec-2-enoate,7367-88-6,230-918-9,C12H22O2,CCCCCCC\C=C\C(=O)OCC
(E)-Ethyl furfuracrylate,as such,(E)-Ethyl furfuracrylate,623-20-1,210-778-5,C9H10O3,CCOC(=O)\C=C\c1occc1
(E)-Geranyl valerate,as such,(E)-Geranyl valerate,10402-47-8,233-869-1,C15H26O2,CCCCC(=O)OC\C=C(/C)\CCC=C(C)C
(E)-Geranylacetone,as such,(E)-Geranylacetone,3796-70-1,223-269-8,C13H22O,C/C(C)=C\CCC(\C)=C\CCC(C)=O
(E)-Hexyl 2-hexenoate,as such,(E)-Hexyl 2-hexenoate,33855-57-1,,C12H22O2,CCCCCCOC(=O)/C=C/CCC
(E)-pent-2-enoic acid,as such,(E)-pent-2-enoic acid,13991-37-2,237-791-9,C5H8O2,CC\C=C\C(=O)O
"(E,E)-3,5-Octadien-2-one",as such,"(E,E)-3,5-Octadien-2-one",30086-02-3,,C8H12O,
"(E,E)-8,10-Dodecadien-1-ol",as such,"(E,E)-8,10-Dodecadien-1-ol",33956-49-9,251-761-2,C12H22O,C/C=C/C=C/CCCCCCCO
"(E,E)-Geranyl 2-methylcrotonate",as such,"(E,E)-Geranyl 2-methylcrotonate",7785-33-3,232-078-9,C15H24O2,O=C(/C(C)=C/C)OC/C=C(C)/CC/C=C(C)/C
"(E,E)-Hexa-2,4-dienoic acid",as such,"(E,E)-Hexa-2,4-dienoic acid",110-44-1,203-768-7,C6H8O2,C/C=C/C=C/C(=O)O
"(E,E)-piperidine",as such,"(E,E)-piperidine",94-62-2,202-348-0,C17H19NO3,O1COC2=CC=C(/C=C/C=C/C(=O)N3CCCCC3)C=C12
"(E,Z)-2,6-Nonadienyl acetate",as such,"(E,Z)-2,6-Nonadienyl acetate",68555-65-7,271-442-1,C11H18O2,O=C(OC\C=C\CC\C=C/CC)C
"(E,Z)-3,6-Nonadien-1-ol",as such,"(E,Z)-3,6-Nonadien-1-ol",56805-23-3,,C9H16O,CC\C=C\C\C=C\CCO
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,part of,(E)-8-Dodecenyl Acetate,38363-29-0,253-904-4,C14H26O2,CCC/C=C/CCCCCCCOC(=O)C
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,part of,(Z)-8-Dodecenol,40642-40-8,255-019-9,C12H24O,CCC/C=C\CCCCCCCO
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,part of,(Z)-8-Dodecenyl Acetate,28079-04-1,248-823-6,C14H26O2,CCC/C=C\CCCCCCCOC(=O)C
"(E;Z)-3,6-Nonadien-1-ol, acetate",as such,"(E;Z)-3,6-Nonadien-1-ol, acetate",76649-26-8,278-519-9,,CCC=CCC=CCCOC(=O)C
(R)-(+)-Menthofuran,as such,(R)-(+)-Menthofuran,17957-94-7,,C10H14O,C[C@@H]1CCC2=C(C1)OC=C2C
(R)-(+)-Pulegone,as such,(R)-(+)-Pulegone,89-82-7,201-943-2,C10H16O,CC1CCC(=C(C)C)C(=O)C1
(R)-(+)-Sclareolide,as such,(R)-(+)-Sclareolide,564-20-5,209-269-0,,C[C@@]([C@](CC1)([H])C2(C)C)(CCC2)[C@](CC3=O)([H])[C@@]1(O3)C
(R)-(-)-Lavandulol,as such,(R)-(-)-Lavandulol,498-16-8,,C10H18O,CC(=CC[C@@H](CO)C(=C)C)C
"(R)-N,N-Dimethylphenethylamine",as such,"(R)-N,N-Dimethylphenethylamine",19342-01-9,242-976-2,C10H15N,C[C@@H](N(C)C)c1ccccc1
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",ca.,Dinocap,39300-45-3,254-408-0,C18H24N2O6,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C\C)[N+](=O)[O-])[N+](=O)[O-]
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",part of,"2,4-dinitro-6-octan-2-ylphenyl (E)-but-2-enoate",6119-92-2,228-088-8,C18H24N2O6,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C/C)[N+](=O)[O-])[N+](=O)[O-]
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate preparation (GF1478)",part of,"2,4-dinitro-6-octan-2-ylphenyl (E)-but-2-enoate",6119-92-2,228-088-8,C18H24N2O6,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C/C)[N+](=O)[O-])[N+](=O)[O-]
"(S)-1-(3-(((4-amino-2,2-dioxido-1H-benzo[c][1,2,6]thiadiazin-5-yl)oxy)methyl)piperidin-1- yl)-3-methylbutan-1-one",as such,"(S)-1-(3-(((4-amino-2,2-dioxido-1H-benzo[c][1,2,6]thiadiazin-5-yl)oxy)methyl)piperidin-1- yl)-3-methylbutan-1-one",1469426-64-9,,C18H26N4O4S,CC(C)CC(=O)N1CCC[C@@H](C1)COC2=CC=CC3=C2C(=NS(=O)(=O)N3)N
(S)-1-Methoxy-3-heptanethiol,as such,(S)-1-Methoxy-3-heptanethiol,400052-49-5,,C8H18OS,COCC[C@@H](S)CCCC
"(S)-2,5-dimethyl-3-thiofuroylfuran",as such,"(S)-2,5-dimethyl-3-thiofuroylfuran",65505-16-0,265-796-6,C11H10O3S,Cc1oc(C)c(SC(=O)c2cocc2)c1
(S)-Methyl lactate,as such,(S)-Methyl lactate,27871-49-4,248-704-9,C4H8O3,COC(=O)[C@H](C)O
(S)-Methyl octanethioate,as such,(S)-Methyl octanethioate,2432-83-9,,C9H18OS,CCCCCCCC(=O)SC
(S)-Terpinyl cinnamate,as such,(S)-Terpinyl cinnamate,10024-56-3,233-023-1,C19H24O2,CC1=CCC(CC1)C(C)(C)OC(=O)/C=C/C2=CC=CC=C2
(S)-campholenyl acetate,as such,(S)-campholenyl acetate,36789-59-0,253-212-2,C12H20O2,CC1=CCC(C1(C)C)CCOC(=O)C
(Z)-11-Hexadecen-1-ol,as such,(Z)-11-Hexadecen-1-ol,56683-54-6,260-337-6,C16H32O,CCCC/C=C\CCCCCCCCCCO
(Z)-11-Hexadecen-1-yl Acetate,as such,(Z)-11-Hexadecen-1-yl Acetate,34010-21-4,251-791-6,C18H34O2,CCCC/C=C\CCCCCCCCCCOC(=O)C
(Z)-11-Hexadecenal,as such,(Z)-11-Hexadecenal,53939-28-9,258-876-7,C16H30O,CCCC/C=C\CCCCCCCCCC=O
(Z)-11-Hexadecenal and (Z)-11-Hexadecen-1-yl acetate mixture,part of,(Z)-11-Hexadecen-1-yl Acetate,34010-21-4,251-791-6,C18H34O2,CCCC/C=C\CCCCCCCCCCOC(=O)C
(Z)-11-Hexadecenal and (Z)-11-Hexadecen-1-yl acetate mixture,part of,(Z)-11-Hexadecenal,53939-28-9,258-876-7,C16H30O,CCCC/C=C\CCCCCCCCCC=O
(Z)-11-Tetradecenyl Acetate,as such,(Z)-11-Tetradecenyl Acetate,20711-10-8,243-982-8,C16H30O2,CC/C=C\CCCCCCCCCCOC(=O)C
(Z)-13-Octadecenal,as such,(Z)-13-Octadecenal,58594-45-9,261-349-4,C18H34O,CCCC/C=C\CCCCCCCCCCCC=O
(Z)-4-Hepten-2-ol,as such,(Z)-4-Hepten-2-ol,66642-85-1,,C7H14O,CC(O)C/C=C\CC
(Z)-4-Hepten-2-yl butyrate,as such,(Z)-4-Hepten-2-yl butyrate,94088-12-7,302-009-8,C11H20O2,O=C(CCC)OC(C)C/C=C\CC
(Z)-5-Octen-2-one,as such,(Z)-5-Octen-2-one,22610-86-2,,C8H14O,CC/C=C\CCC(=O)C
(Z)-7-Tetradecenal,as such,(Z)-7-Tetradecenal,65128-96-3,265-493-9,C14H26O,CCCCCC/C=C\CCCCCC=O
(Z)-8-Dodecenol,as such,(Z)-8-Dodecenol,40642-40-8,255-019-9,C12H24O,CCC/C=C\CCCCCCCO
(Z)-8-Dodecenyl Acetate,as such,(Z)-8-Dodecenyl Acetate,28079-04-1,248-823-6,C14H26O2,CCC/C=C\CCCCCCCOC(=O)C
(Z)-8-Dodecenyl Acetate and Dodecan-1-yl Acetate mixture,part of,(Z)-8-Dodecenyl Acetate,28079-04-1,248-823-6,C14H26O2,CCC/C=C\CCCCCCCOC(=O)C
(Z)-8-Dodecenyl Acetate and Dodecan-1-yl Acetate mixture,part of,Dodecyl acetate,112-66-3,203-995-1,C14H28O2,O=C(C)OCCCCCCCCCCCC
