coffee_shop_name,num_reviews,rating,coffee,tea,vibe,internet,food,alcohol,seating,service,parking,location,local,price,hours
Arturo's Underground Cafe ,100,4.3,0.16,0,0.33,0,0.83,0,0.08,0.35,0.15,0.01,0.04,0.02,0.02
Irie Bean Coffee Bar ,100,4.3,0.56,0.06,0.43,0.03,0.15,0.14,0.3,0.61,0.01,0.04,0.09,0.04,0.03
Juan Pelota ,100,4.29,0.48,0.02,0,0.06,0.15,0,0.09,0.53,0.04,0.09,0.04,0.02,0.01
Hot Mama's Cafe ,100,4.27,0.23,0.03,0,0,0.77,-0.01,0.32,0.53,0.04040404,0.01,0.05,0.1,0.02
Sorrento's Coffee ,100,4.26,0.23,0,0,0,0.23,0,0.01,0.41,0.05,0.07,0.16,0.06,0.03
Flightpath Coffeehouse ,100,4.23,0.61,0.03,0.37,0.11,0.15,0.01,0.25,0.48,-0.04,0.08,0.01,0.03,0
TOMS ,100,4.23,0.63,0.04,0,0.01,0.05,0.01,0.26,0.33,0.06,0.05,-0.01,-0.03,-0.02
Jo's Coffee ,100,4.19,0.49,0.03,0.2,0,0.11,0,0.13,0.21,0.02,0.15,0.03,-0.01,-0.01
Houndstooth Coffee ,200,4.175,0.605,0.065,0.345,0.035,0.105,0.005,0.065,0.47,0.055,0.105,0.015,-0.075,0.015
Vintage Heart Coffee ,100,4.17,0.73,0.01,0.41,0.07,0.03,0,0.09,0.41,0.12,0.17,0.05,0.02,0.03
Picnik Austin ,100,4.15,0.29,0.02,0,0,0.49,0,0.1,0.24,0.02,0.1,-0.01,-0.01,0.02
Bennu Coffee ,100,4.13,0.56,0.04,0.4,0,0.14,0,0.03,0.38,0.06,-0.01,0,0.06,0.09
Caffe Medici ,243,4.119341564,0.6337449,0.004115226,0.436213992,0.037037037,0.090534979,0.016460905,0.12345679,0.390946502,0.008230453,0.152263374,0.008230453,-0.012345679,0.037037037
Tea Haus ,100,4.11,0.34,0.51,0.24,0.06,0.49,-0.01,0.05,0.34,0.02,0.01,0.03,-0.01,0.04
Monkey Nest Coffee ,100,4.08,0.6,0.08,0.37,0,0.4,0,0.09,0.27,0.12,0.11,0.04,0,0.07
Mozart's Coffee Roasters ,100,4.07,0.73,0.03,0.36,0.02,0.43,0,0.15,0.05,0.03,0.12,0.02,0,0.04
Cenote ,100,4.04,0.55,0.02,0.46,0.06,0.74,0.04,0.28,0.28,0,0.11,-0.01,0.07,0.03
Trianon Coffee ,98,4.020408163,0.744898,0.051020408,0,0.091836735,0.204081633,0,0.234693878,0.510204082,0,0.081632653,0.173469388,0.010204082,-0.010204082
The Buzz Mill ,100,4.01,0.18,0,0,0.04,0.29,0.19,0.14,0.2,0.03,0.05,0.04,0.07,0.07
Radio Coffee & Beer ,100,4,0.56,0.03,0,-0.01,0.33,0.47,0.18,0.27,0.09,0.02,0.03,-0.02,0.02
Thunderbird Coffee ,100,3.97,0.55,0.03,0.47,0.12,0.3,0.03,0.3,0.34,0,0.05,0.01,0,0.05
Cherrywood Coffeehouse ,100,3.96,0.56,0,0.4,0,0.8,0.07,0.21,0.27,0.04,0.06,0.03,0.02,-0.02
Genuine Joe ,100,3.95,0.56,0.05,0,0,0.25,0,0.17,0.15,0.07,0.03,0.05,-0.02,0.04
Alta's Cafe ,100,3.93,0.39,0.01,0,0,0.18,0.19,0.35,0.35,-0.01,0.17,0.03,0,0.08
Cream Whiskers ,100,3.93,0.12,0.03,0.42,0.01,0.6,0,0.03,0.05,0.01,0.12,0,-0.02,0.05
Dominican Joe ,100,3.91,0.77,0.03,0,0.16,0.05,0,0.22,0.37,0.1,0.1,0,0,0.01
The Hideout Coffeehouse ,100,3.91,0.58,0.02,0.32,0,0.2,0.01,0.08,0.11,-0.07,0.02,0.08,0.04,0
La Tazza Fresca ,100,3.9,0.47,0.11,0,0.03,0.07,0.02,0.2,0.21,0.02,0.13,0,0.08,-0.03
Teo ,100,3.88,0.36,0.03,0,0,0.636363636,0,0.09,0.27,0.08,0.08,0.01,-0.01,0.02
Cuvee Coffee Bar ,100,3.82,0.61,0,0,0.03,0.11,0.19,0.01,0.3,0.09,0.03,0.05,0.05,0.07
Halcyon ,300,3.82,0.33,0.04,0.61,-0.01,0.27,0.04,0.09,0.16,0.05,0.09,-0.01,0.01,0.056666667
Epoch Coffee ,400,3.8125,0.6575,0.095,0.32885906,0.075,0.1725,0.015,0.2275,0.2775,0.0575,0.09,0.01,0.0375,0.06
Stinson's ,100,3.81,0.44,0.03,0,0.16,0.42,0.07,0.03,0.28,0,0.17,0.04,0.1,0.13
Kick Butt Coffee Music & Booze ,100,3.72,0.34,0.02,0,-0.02,0.2,0.02,0.06,0.31,0.04,0.04,0.06,-0.05,0.02
Pacha ,100,3.69,0.37,-0.03,0,0,0.63,0,0.02,0.26,0,-0.01,0.14,-0.04,-0.01
"Strange Brew, Austin Coffee ",100,3.6,0.53,0.01,0,-0.04,0.17,0.01,0.16,0.19,0.02,0.05,0.04,0.02,0.07
Once Over Coffee Bar ,100,3.37,0.29,0.03,0,0.02,0.06,0.01,0.18,0.11,0.03,0.06,0.01,0.04,0.02
